Station_ID,Start_Date,End_Date,Records,Mean_Rainfall_mm,Mean_ET0_mm
BMD-001,2016-01-01,2025-12-31,3653,4.979058308239803,3.5572926361894335
BMD-002,2016-01-01,2025-12-31,3653,5.103367095537914,3.5928716123733917
BMD-003,2016-01-01,2025-12-31,3653,4.8741308513550505,3.652335067068163
BMD-004,2016-01-01,2025-12-31,3653,4.774377224199288,3.6345469477142074
BMD-005,2016-01-01,2025-12-31,3653,7.073419107582809,3.3261730084861756
BMD-006,2016-01-01,2025-12-31,3653,5.297125650150561,3.5834848070079386
BMD-007,2016-01-01,2025-12-31,3653,4.944100739118532,3.6316397481522036
BMD-008,2016-01-01,2025-12-31,3653,5.822584177388448,3.642592389816589
BMD-009,2016-01-01,2025-12-31,3653,5.644730358609363,3.6515357240624144
BMD-010,2016-01-01,2025-12-31,3653,6.644073364358062,3.681675335340816
BMD-011,2016-01-01,2025-12-31,3653,7.049739939775527,3.6868765398302763
BMD-012,2016-01-01,2025-12-31,3653,6.8383794141801255,3.756931289351218
BMD-013,2016-01-01,2025-12-31,3653,5.983657267998905,3.803818779085683
BMD-015,2016-01-01,2025-12-31,3653,5.979742677251574,3.813920065699425
BMD-016,2016-01-01,2025-12-31,3653,6.530495483164523,3.824555160142349
BMD-017,2016-01-01,2025-12-31,3653,7.071119627703258,3.8052641664385436
BMD-018,2016-01-01,2025-12-31,3653,8.093621680810292,3.8165589926088144
BMD-019,2016-01-01,2025-12-31,3653,11.063865316178484,3.105948535450315
BMD-020,2016-01-01,2025-12-31,3653,4.988529975362715,3.457648508075555
BMD-021,2016-01-01,2025-12-31,3653,5.058773610730906,3.558644949356693
BMD-022,2016-01-01,2025-12-31,3653,4.143087872981112,3.740030112236518
BMD-023,2016-01-01,2025-12-31,3653,4.280974541472762,3.691710922529428
BMD-024,2016-01-01,2025-12-31,3653,6.099753627155763,3.3977908568300026
BMD-025,2016-01-01,2025-12-31,3653,6.398494388174104,3.3814152751163427
BMD-026,2016-01-01,2025-12-31,3653,5.793922803175472,3.432042157131125
BMD-027,2016-01-01,2025-12-31,3653,4.223542294004927,3.7687106487818234
BMD-028,2016-01-01,2025-12-31,3653,4.581056665754175,3.7207336435806186
BMD-029,2016-01-01,2025-12-31,3653,4.745907473309608,3.7005639200656995
BMD-030,2016-01-01,2025-12-31,3653,4.70550232685464,3.6440186148371203
BMD-031,2016-01-01,2025-12-31,3653,4.9163701067615655,3.5830823980290174
BMD-032,2016-01-01,2025-12-31,3653,5.067807281686285,3.6251108677799073
BMD-033,2016-01-01,2025-12-31,3653,5.323104297837394,3.604470298384889
BMD-034,2016-01-01,2025-12-31,3653,5.126471393375308,3.6800793868053656
BMD-035,2016-01-01,2025-12-31,3653,5.846099096632904,3.698086504243088
